Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112116921344,LO_2021_03_17,,FALSE,PL8704.A39 M33 2013,Mbali na nyumbani /,"Adam, Adam Shafi,","Nairobi, Kenya : Longhorn Publishers, 2013.",99769165812205899
30112115211325,LO_2021_03_17,,FALSE,SB. R662me,I am Jackie Robinson /,"Meltzer, Brad.","New York : Dial Books for Young Readers, an imprint of Penguin Group (USA) LLC, [2015]",99801594312205899
30112054226003,DS_2021_03_17,Epson Flatbed,FALSE,S.920.02 M4962h,Heroes for my daughter /,"Meltzer, Brad,","New York, N.Y. : HarperCollins Children's Books, [2012]",99828668112205899
30112040673359,DS_2021_03_17,,FALSE,941.062072 W642w,"The writing of royalism, 1628-1660 /","Wilcher, Robert,","Cambridge, UK ; New York, NY : Cambridge University Press, 2001.",99433705612205899
30112097391665,DS_2021_03_17,,FALSE,355.0320971 K55o,"The other cold war : Canada's military assistance to the developing world, 1945-1975 /","Kilford, Christopher R.,","Kingston, Ont. : Canadian Defence Academy Press, c2010.",99659806612205899
30112126478368,DS_2021_03_17,BC100,FALSE,720.711 D5411,Dialectic VII : decolonizing architectural pedagogy /,"Goodman, Anna","[San Rafael] : ORO Editions, [2019]",99938150312205899
30112000479839,LO_2021_03_17,,FALSE,891.73 D74Oi:Em,The idiot /,"Dostoyevsky, Fyodor,","Baltimore : Penguin Books, [1961].",99352528012205899
30112104528382,LO_2021_03_17,,FALSE,967.8 N98ma,"Julius Nyerere, Africa's titan on a global stage : perspectives from Arusha to Obama /","Mazrui, Ali AlʼAmin.","Durham, N.C. : Carolina Academic Press, ©2013.",99706506812205899
30112099358381,DS_2021_03_18,Epson Flatbed,FALSE,920.02 M487he,Heroes for my son /,"Meltzer, Brad.","New York : HarperStudio, c2010.",99625538012205899
30112056879239,DS_2021_03_18,,FALSE,305.409389 P771s,Spartan women /,"Pomeroy, Sarah B.","Oxford ; New York : Oxford University Press, 2002.",99449850612205899
30112004836059,DS_2021_03_18,DIY,TRUE,791.089924 ER28S,"Staging the Jew : the performance of an American ethnicity, 1860-1920 /","Erdman, Harley,","New Brunswick, N.J. : Rutgers University Press, ©1997.",99398006812205899
30112101650288,DS_2021_03_18,BC100,FALSE,639.20202 F5392012,Fisheries techniques /,"Zale, Alexander V.","Bethesda, Md. : American Fisheries Society, 2012.",99716074312205899
30112075549516,DS_2021_03_18,,FALSE,P119.32.E85 N53 2006,"Europe and the politics of language : citizens, migrants and outsiders /","Nic Craith, Máiréad.","Basingstoke [England] ; New York : Palgrave Macmillan, 2006.",99514229612205899
